	MAIN_TAREADOR	start_plan_forward	init_complex_grid	ffts1_and_transpositions	
THREAD 1.1.1	110000.00	0.00	0.00	0.00	
THREAD 1.1.2	0.00	20000.00	0.00	0.00	
THREAD 1.1.3	0.00	0.00	100442000.00	0.00	
THREAD 1.1.4	0.00	0.00	0.00	539208000.00	

Total	110000.00	20000.00	100442000.00	539208000.00	
Average	110000.00	20000.00	100442000.00	539208000.00	
Maximum	110000.00	20000.00	100442000.00	539208000.00	
Minimum	110000.00	20000.00	100442000.00	539208000.00	
Stdev	0.00	0.00	0.00	0.00	
Avg/Max	1.00	1.00	1.00	1.00	

